"City Council Districts (CD)","","","",""
"CD 1","451","2,374","2,825","-4%"
"CD 2","40","1,700","1,740","5%"
"CD 3","98","606","704","4%"
"CD 4","120","952","1,072","15%"
"CD 5","251","954","1,205","10%"
"CD 6","1,881","1,427","3,308","42%"
"CD 7","224","1,216","1,440","10%"
"CD 8","2,337","2,049","4,386","72%"
"CD 9","2,238","2,653","4,891","9%"
"CD 10","666","1,264","1,930","20%"
"CD 11","108","3,165","3,273","40%"
"CD 12","76","659","735","25%"
"CD 13","713","3,194","3,907","22%"
"CD 14","2,912","4,705","7,617","-0.3%"
"CD 15","323","1,934","2,257","2%"
